,sample_id,sample_well,sentrix_id,mouse_id,tissue,age_mo,genotype,sex
1,S027609,A01,205659810021_R01C01,CG5544,heart,1,hmz,f
2,S027610,B01,205659810021_R02C01,CG5544,liver,1,hmz,f
3,S027611,C01,205659810021_R03C01,CG5544,kidney,1,hmz,f
4,S027612,D01,205659810021_R04C01,CG5544,spleen,1,hmz,f
5,S027613,E01,205659810021_R05C01,CG5544,muscle,1,hmz,f
6,S027614,F01,205659810021_R06C01,CG5544,bm,1,hmz,f
7,S027615,G01,205659810021_R01C02,CG5544,blood_clot,1,hmz,f
8,S027616,H01,205659810021_R02C02,CG5597,heart,1,hmz,m
9,S027617,A02,205659810021_R03C02,CG5597,liver,1,hmz,m
10,S027618,B02,205659810021_R04C02,CG5597,kidney,1,hmz,m
11,S027619,C02,205659810021_R05C02,CG5597,spleen,1,hmz,m
12,S027620,D02,205659810021_R06C02,CG5597,muscle,1,hmz,m
13,S027621,E02,205659810028_R01C01,CG5597,bm,1,hmz,m
14,S027622,F02,205659810028_R02C01,CG5597,blood_clot,1,hmz,m
15,S027623,G02,205659810028_R03C01,CG7310,heart,2,hmz,f
16,S027624,H02,205659810028_R04C01,CG7310,liver,2,hmz,f
17,S027625,A03,205659810028_R05C01,CG7310,kidney,2,hmz,f
18,S027626,B03,205659810028_R06C01,CG7310,spleen,2,hmz,f
19,S027627,C03,205659810028_R01C02,CG7310,muscle,2,hmz,f
20,S027628,D03,205659810028_R02C02,CG7310,bm,2,hmz,f
21,S027629,E03,205659810028_R03C02,CG7310,blood_clot,2,hmz,f
22,S027630,F03,205659810028_R04C02,CG7309,heart,2,hmz,m
23,S027631,G03,205659810028_R05C02,CG7309,liver,2,hmz,m
24,S027632,H03,205659810028_R06C02,CG7309,kidney,2,hmz,m
25,S027633,A04,205659810030_R01C01,CG7309,spleen,2,hmz,m
26,S027634,B04,205659810030_R02C01,CG7309,muscle,2,hmz,m
27,S027635,C04,205659810030_R03C01,CG7309,bm,2,hmz,m
28,S027636,D04,205659810030_R04C01,CG7309,blood_clot,2,hmz,m
29,S027637,E04,205659810030_R05C01,CF8466,kidney,6,hmz,f
30,S027638,F04,205659810030_R06C01,CF8466,spleen,6,hmz,f
31,S027639,G04,205659810030_R01C02,CF8466,muscle,6,hmz,f
32,S027640,H04,205659810030_R02C02,CF8466,bm,6,hmz,f
33,S027641,A05,205659810030_R03C02,CF8466,blood_clot,6,hmz,f
34,S027642,B05,205659810030_R04C02,CG0588,heart,6,hmz,m
35,S027643,C05,205659810030_R05C02,CG0588,liver,6,hmz,m
36,S027644,D05,205659810030_R06C02,CG0588,kidney,6,hmz,m
37,S027645,E05,205659810067_R01C01,CG0588,spleen,6,hmz,m
38,S027646,F05,205659810067_R02C01,CG0588,muscle,6,hmz,m
39,S027647,G05,205659810067_R03C01,CG0588,bm,6,hmz,m
40,S027648,H05,205659810067_R04C01,CG0588,blood_clot,6,hmz,m
41,S027649,A06,205659810067_R05C01,CG7113,heart,2,wt,f
42,S027650,B06,205659810067_R06C01,CG7113,liver,2,wt,f
43,S027651,C06,205659810067_R01C02,CG7113,kidney,2,wt,f
44,S027652,D06,205659810067_R02C02,CG7113,spleen,2,wt,f
45,S027653,E06,205659810067_R03C02,CG7113,muscle,2,wt,f
46,S027654,F06,205659810067_R04C02,CG7113,bm,2,wt,f
47,S027655,G06,205659810067_R05C02,CG7113,blood_clot,2,wt,f
48,S027656,H06,205659810067_R06C02,CF8476,kidney,6,wt,f
49,S027657,A07,205659810045_R01C01,CF8476,spleen,6,wt,f
50,S027658,B07,205659810045_R02C01,CF8476,muscle,6,wt,f
51,S027659,C07,205659810045_R03C01,CF8476,bm,6,wt,f
52,S027660,D07,205659810045_R04C01,CF8476,blood_clot,6,wt,f
53,S027661,E07,205659810045_R05C01,CG5594,heart,2,wt,m
54,S027662,F07,205659810045_R06C01,CG5594,liver,2,wt,m
55,S027663,G07,205659810045_R01C02,CG5594,kidney,2,wt,m
56,S027664,H07,205659810045_R02C02,CG5594,spleen,2,wt,m
57,S027665,A08,205659810045_R03C02,CG5594,muscle,2,wt,m
58,S027666,B08,205659810045_R04C02,CG5594,bm,2,wt,m
59,S027667,C08,205659810045_R05C02,CG5594,blood_clot,2,wt,m
60,S027668,D08,205659810045_R06C02,CG6289,heart,6,wt,m
61,S027669,E08,205659810044_R01C01,CG6289,liver,6,wt,m
62,S027670,F08,205659810044_R02C01,CG6289,kidney,6,wt,m
63,S027671,G08,205659810044_R03C01,CG6289,spleen,6,wt,m
64,S027672,H08,205659810044_R04C01,CG6289,muscle,6,wt,m
65,S027673,A09,205659810044_R05C01,CG6289,bm,6,wt,m
66,S027674,B09,205659810044_R06C01,CG6289,blood_clot,6,wt,m
67,S029126,C09,205659810044_R01C02,CG5596,heart,1,wt,m
68,S029127,D09,205659810044_R02C02,CG5596,liver,1,wt,m
69,S029128,E09,205659810044_R03C02,CG5596,kidney,1,wt,m
70,S029129,F09,205659810044_R04C02,CG5596,bm,1,wt,m
71,S029130,G09,205659810044_R05C02,CG5596,blood_clot,1,wt,m
